Part_Name,Material_Composition,Age,Condition,Location,Manufacturer,Aircraft_Model
Wing,Steel,5,New,Asia,Bombardier,A320
Avionics,Aluminum,22,New,Europe,Bombardier,737
Landing Gear,Aluminum,6,Used,Europe,Bombardier,CRJ900
Fuselage,Steel,43,New,Europe,Bombardier,E175
Fuselage,Composite,36,New,Australia,Bombardier,Citation X
Engine,Titanium,28,Used,South America,Boeing,G650
Avionics,Titanium,24,Used,Australia,Bombardier,Citation X
Landing Gear,Titanium,20,Used,Australia,Bombardier,737
Engine,Aluminum,13,New,North America,Boeing,A320
Landing Gear,Composite,32,New,Africa,Embraer,E175
Avionics,Composite,6,New,South America,Boeing,G650
Wing,Aluminum,43,Used,North America,Bombardier,E175
Avionics,Composite,8,New,Europe,Embraer,Citation X
Avionics,Titanium,46,New,South America,Embraer,G650
Landing Gear,Composite,31,New,Europe,Embraer,G650
Landing Gear,Aluminum,8,Used,Africa,Airbus,CRJ900
Fuselage,Titanium,26,Used,Australia,Bombardier,CRJ900
Engine,Aluminum,12,Used,North America,Bombardier,CRJ900
Wing,Aluminum,6,Used,South America,Cessna,E175
Landing Gear,Aluminum,18,Used,Asia,Cessna,CRJ900
Avionics,Steel,26,New,South America,Embraer,A320
Avionics,Titanium,22,Used,South America,Bombardier,CRJ900
Engine,Composite,31,New,South America,Gulfstream,E175
Wing,Titanium,28,Used,Australia,Embraer,CRJ900
Wing,Steel,30,New,Europe,Boeing,737
Fuselage,Steel,7,Used,Asia,Gulfstream,A320
Wing,Aluminum,11,Used,Africa,Cessna,A320
Wing,Titanium,36,New,Africa,Airbus,A320
Avionics,Steel,30,Used,Asia,Gulfstream,CRJ900
Fuselage,Steel,40,Used,Africa,Airbus,G650
Engine,Aluminum,34,Used,Africa,Boeing,737
Landing Gear,Steel,34,Used,Asia,Gulfstream,737
Engine,Aluminum,24,Used,North America,Boeing,CRJ900
Avionics,Composite,12,New,North America,Bombardier,E175
Avionics,Steel,4,New,Asia,Bombardier,A320
Wing,Composite,16,Used,North America,Bombardier,E175
Landing Gear,Titanium,15,Used,North America,Cessna,CRJ900
Wing,Steel,25,New,Asia,Gulfstream,CRJ900
Fuselage,Aluminum,37,Used,Africa,Gulfstream,E175
Engine,Titanium,18,Used,Europe,Cessna,Citation X
Wing,Composite,4,Used,North America,Bombardier,G650
Fuselage,Composite,2,New,South America,Boeing,E175
Fuselage,Composite,2,Used,North America,Airbus,Citation X
Engine,Titanium,4,New,Australia,Boeing,G650
Wing,Composite,8,Used,North America,Gulfstream,737
Avionics,Aluminum,16,New,North America,Gulfstream,737
Wing,Composite,13,New,Africa,Cessna,Citation X
Avionics,Aluminum,33,New,North America,Airbus,A320
Wing,Steel,9,New,South America,Airbus,737
Avionics,Composite,25,New,North America,Bombardier,Citation X
Avionics,Steel,37,New,South America,Airbus,Citation X
Avionics,Composite,35,Used,Australia,Bombardier,Citation X
Landing Gear,Composite,10,Used,Asia,Bombardier,737
Engine,Aluminum,5,New,Africa,Cessna,A320
Landing Gear,Aluminum,48,New,Africa,Gulfstream,A320
Engine,Titanium,18,Used,South America,Embraer,A320
Fuselage,Steel,43,Used,Australia,Airbus,E175
Fuselage,Composite,31,Used,Europe,Boeing,A320
Engine,Aluminum,31,New,South America,Boeing,Citation X
Wing,Composite,23,Used,North America,Cessna,737
Avionics,Titanium,37,New,Africa,Boeing,A320
Landing Gear,Steel,9,New,South America,Cessna,CRJ900
Landing Gear,Aluminum,0,Used,Australia,Boeing,CRJ900
Fuselage,Titanium,30,New,North America,Boeing,737
Fuselage,Steel,28,Used,South America,Airbus,CRJ900
Engine,Titanium,25,New,North America,Cessna,737
Engine,Aluminum,20,Used,North America,Airbus,A320
Engine,Composite,7,Used,South America,Gulfstream,CRJ900
Engine,Composite,34,New,Australia,Boeing,G650
Landing Gear,Aluminum,45,Used,South America,Bombardier,E175
Wing,Steel,10,Used,Africa,Embraer,737
Wing,Aluminum,33,Used,Australia,Embraer,G650
Fuselage,Composite,24,Used,Europe,Gulfstream,G650
Wing,Steel,39,New,South America,Boeing,737
Wing,Steel,16,New,North America,Cessna,G650
Fuselage,Aluminum,29,Used,Europe,Airbus,737
Avionics,Titanium,2,New,South America,Airbus,G650
Wing,Composite,21,Used,Africa,Cessna,A320
Engine,Composite,22,Used,North America,Gulfstream,737
Wing,Steel,8,New,North America,Airbus,737
Wing,Aluminum,48,Used,North America,Cessna,A320
Avionics,Aluminum,11,Used,Asia,Airbus,G650
Avionics,Titanium,5,New,Europe,Gulfstream,Citation X
Avionics,Aluminum,32,Used,Africa,Cessna,G650
Fuselage,Titanium,6,Used,Asia,Gulfstream,737
Engine,Composite,31,New,South America,Gulfstream,G650
Landing Gear,Aluminum,27,New,South America,Cessna,E175
Avionics,Composite,39,New,Europe,Cessna,737
Fuselage,Steel,2,Used,Asia,Bombardier,A320
Wing,Composite,26,New,South America,Boeing,Citation X
Wing,Composite,3,Used,Europe,Bombardier,737
Engine,Aluminum,37,New,Europe,Airbus,Citation X
Landing Gear,Titanium,16,Used,North America,Boeing,Citation X
Landing Gear,Aluminum,26,Used,Australia,Embraer,737
Fuselage,Aluminum,35,New,Europe,Cessna,Citation X
Wing,Composite,15,Used,Australia,Embraer,CRJ900
Landing Gear,Steel,22,New,Asia,Boeing,E175
Wing,Aluminum,38,New,Australia,Boeing,737
Engine,Titanium,0,Used,Europe,Bombardier,CRJ900
Engine,Composite,32,Used,Europe,Embraer,Citation X
Avionics,Composite,30,New,Asia,Cessna,737
Wing,Aluminum,16,Used,Asia,Bombardier,G650
Fuselage,Titanium,1,Used,Asia,Embraer,737
Landing Gear,Composite,35,Used,Europe,Embraer,Citation X
Engine,Steel,44,Used,Australia,Cessna,737
Landing Gear,Aluminum,43,New,Europe,Embraer,CRJ900
Landing Gear,Titanium,43,New,Africa,Boeing,A320
Wing,Aluminum,16,Used,Africa,Bombardier,CRJ900
Engine,Steel,34,Used,Europe,Airbus,Citation X
Fuselage,Titanium,9,Used,Africa,Gulfstream,A320
Landing Gear,Aluminum,40,Used,Australia,Embraer,CRJ900
Landing Gear,Titanium,22,Used,Asia,Bombardier,G650
Avionics,Titanium,30,Used,North America,Boeing,737
Avionics,Composite,40,Used,Asia,Gulfstream,737
Avionics,Aluminum,30,Used,Australia,Embraer,A320
Fuselage,Steel,7,New,South America,Cessna,E175
Landing Gear,Steel,29,New,Europe,Cessna,A320
Wing,Composite,0,Used,Africa,Bombardier,737
Avionics,Titanium,26,Used,North America,Gulfstream,E175
Engine,Aluminum,16,Used,Asia,Bombardier,737
Avionics,Steel,11,Used,Australia,Airbus,737
Wing,Titanium,22,Used,Africa,Airbus,A320
Engine,Aluminum,38,New,North America,Boeing,A320
Fuselage,Composite,43,New,South America,Airbus,A320
Avionics,Aluminum,4,New,Australia,Bombardier,737
Fuselage,Steel,37,Used,Asia,Boeing,CRJ900
Wing,Titanium,47,New,Asia,Boeing,G650
Engine,Steel,21,Used,Africa,Gulfstream,E175
Wing,Aluminum,0,New,Asia,Bombardier,737
Landing Gear,Composite,36,New,North America,Gulfstream,A320
Fuselage,Aluminum,12,Used,South America,Boeing,G650
Wing,Aluminum,8,Used,North America,Cessna,G650
Avionics,Aluminum,32,New,Australia,Bombardier,E175
Landing Gear,Composite,49,New,Europe,Bombardier,Citation X
Avionics,Titanium,10,Used,North America,Gulfstream,737
Wing,Composite,22,Used,North America,Gulfstream,737
Avionics,Steel,45,New,North America,Embraer,Citation X
Wing,Aluminum,3,Used,Europe,Airbus,Citation X
Landing Gear,Steel,9,Used,Africa,Gulfstream,CRJ900
Landing Gear,Composite,27,New,South America,Airbus,A320
Engine,Titanium,39,Used,North America,Airbus,G650
Wing,Titanium,11,New,Europe,Bombardier,E175
Fuselage,Composite,9,New,Africa,Gulfstream,E175
Landing Gear,Steel,16,New,Africa,Cessna,G650
Avionics,Aluminum,0,Used,Europe,Embraer,G650
Engine,Composite,21,New,Europe,Bombardier,CRJ900
Engine,Steel,13,Used,Africa,Embraer,Citation X
Avionics,Titanium,20,Used,North America,Cessna,Citation X
Avionics,Aluminum,41,New,North America,Airbus,737
Avionics,Steel,38,Used,South America,Embraer,A320
Engine,Composite,1,New,Africa,Boeing,737
Fuselage,Aluminum,21,Used,North America,Embraer,G650
Landing Gear,Titanium,15,New,North America,Bombardier,737
Fuselage,Titanium,45,New,Asia,Gulfstream,CRJ900
Landing Gear,Aluminum,21,New,Australia,Bombardier,G650
Landing Gear,Titanium,37,Used,Asia,Gulfstream,G650
Avionics,Steel,3,New,Europe,Embraer,CRJ900
Wing,Aluminum,28,Used,Africa,Cessna,E175
Landing Gear,Titanium,2,Used,Africa,Airbus,A320
Fuselage,Titanium,22,Used,Europe,Embraer,Citation X
Engine,Composite,2,Used,Europe,Embraer,737
Landing Gear,Composite,4,Used,North America,Embraer,Citation X
Fuselage,Aluminum,16,New,North America,Embraer,E175
Fuselage,Aluminum,34,Used,Australia,Airbus,A320
Avionics,Aluminum,46,Used,Africa,Embraer,E175
Fuselage,Composite,11,Used,South America,Gulfstream,G650
Wing,Composite,19,Used,Africa,Airbus,Citation X
Avionics,Aluminum,23,New,Australia,Cessna,737
Avionics,Steel,31,New,North America,Cessna,A320
Avionics,Aluminum,9,Used,South America,Bombardier,E175
Engine,Aluminum,6,Used,Europe,Gulfstream,737
Engine,Titanium,6,Used,Africa,Boeing,G650
Avionics,Aluminum,28,Used,Asia,Bombardier,737
Landing Gear,Composite,28,Used,Asia,Bombardier,A320
Wing,Aluminum,34,Used,South America,Embraer,G650
Avionics,Composite,5,New,Africa,Cessna,A320
Engine,Composite,45,New,North America,Bombardier,737
Fuselage,Composite,30,New,Africa,Bombardier,CRJ900
Avionics,Steel,9,New,Asia,Boeing,G650
Wing,Titanium,43,New,Australia,Cessna,CRJ900
Fuselage,Titanium,40,Used,Europe,Embraer,A320
Wing,Aluminum,9,New,Asia,Embraer,G650
Wing,Aluminum,40,New,Australia,Embraer,G650
Engine,Composite,9,New,North America,Embraer,737
Engine,Composite,37,Used,Australia,Gulfstream,737
Avionics,Composite,16,Used,Africa,Gulfstream,737
Engine,Steel,39,Used,Australia,Airbus,A320
Wing,Composite,47,New,North America,Bombardier,G650
Fuselage,Steel,30,New,Asia,Gulfstream,A320
Wing,Composite,9,Used,Europe,Gulfstream,E175
Engine,Composite,37,New,Australia,Gulfstream,E175
Wing,Aluminum,12,New,Africa,Gulfstream,A320
Wing,Titanium,15,New,South America,Boeing,E175
Engine,Composite,29,New,Africa,Gulfstream,CRJ900
Engine,Steel,33,Used,Africa,Embraer,Citation X
Engine,Titanium,5,New,North America,Airbus,E175
Landing Gear,Aluminum,32,New,Africa,Airbus,G650
Fuselage,Composite,37,New,Asia,Gulfstream,A320
Landing Gear,Steel,12,New,Africa,Embraer,CRJ900
Landing Gear,Titanium,2,Used,Australia,Boeing,Citation X
Avionics,Composite,1,New,North America,Bombardier,E175
Engine,Composite,7,New,Australia,Boeing,E175
Landing Gear,Steel,21,New,South America,Gulfstream,Citation X
Avionics,Aluminum,19,Used,South America,Bombardier,G650
Engine,Steel,33,Used,North America,Airbus,G650
Engine,Composite,30,New,North America,Embraer,CRJ900
Wing,Steel,23,Used,Europe,Embraer,CRJ900
Landing Gear,Titanium,19,Used,Asia,Bombardier,E175
Avionics,Titanium,46,New,Asia,Boeing,E175
Engine,Aluminum,48,New,Australia,Boeing,A320
Landing Gear,Titanium,18,New,North America,Embraer,737
Avionics,Aluminum,7,New,North America,Gulfstream,737
Landing Gear,Steel,15,New,North America,Cessna,A320
Avionics,Steel,0,New,South America,Bombardier,737
Landing Gear,Steel,17,Used,North America,Embraer,CRJ900
Landing Gear,Steel,34,Used,Africa,Embraer,737
Avionics,Titanium,45,Used,Asia,Boeing,CRJ900
Wing,Aluminum,42,Used,Africa,Gulfstream,E175
Fuselage,Steel,44,Used,Australia,Airbus,E175
Wing,Composite,2,Used,North America,Cessna,737
Landing Gear,Steel,43,Used,South America,Airbus,E175
Fuselage,Aluminum,14,New,Australia,Boeing,A320
Landing Gear,Composite,23,New,South America,Gulfstream,A320
Wing,Titanium,32,Used,Africa,Boeing,E175
Engine,Aluminum,19,Used,North America,Embraer,CRJ900
Wing,Aluminum,25,Used,Asia,Embraer,737
Avionics,Steel,33,New,Asia,Gulfstream,G650
Wing,Steel,35,New,South America,Cessna,737
Avionics,Titanium,20,New,North America,Boeing,Citation X
Landing Gear,Titanium,36,Used,Europe,Cessna,737
Fuselage,Steel,42,New,Europe,Embraer,737
Wing,Composite,2,New,Europe,Bombardier,737
Fuselage,Composite,12,New,Australia,Airbus,E175
Wing,Aluminum,17,Used,Europe,Airbus,CRJ900
Wing,Titanium,34,New,North America,Cessna,E175
Landing Gear,Titanium,44,New,Asia,Boeing,737
Wing,Steel,29,Used,Asia,Embraer,CRJ900
Engine,Composite,25,New,Africa,Embraer,Citation X
Wing,Composite,27,New,North America,Embraer,E175
Wing,Composite,0,Used,Asia,Cessna,737
Engine,Aluminum,27,New,North America,Gulfstream,A320
Fuselage,Steel,11,Used,North America,Airbus,A320
Wing,Steel,20,New,Asia,Bombardier,CRJ900
Avionics,Titanium,4,Used,Africa,Embraer,A320
Landing Gear,Titanium,14,New,Asia,Cessna,CRJ900
Wing,Steel,49,New,North America,Airbus,737
Engine,Steel,23,Used,South America,Cessna,737
Avionics,Titanium,33,New,South America,Embraer,A320
Engine,Aluminum,10,New,Europe,Airbus,A320
Avionics,Composite,15,Used,Australia,Gulfstream,CRJ900
Engine,Aluminum,9,Used,Europe,Airbus,G650
Fuselage,Titanium,30,New,Australia,Embraer,G650
Landing Gear,Steel,42,New,South America,Bombardier,E175
Landing Gear,Titanium,16,New,Europe,Bombardier,737
Fuselage,Composite,49,Used,South America,Cessna,E175
Engine,Steel,39,Used,Asia,Embraer,A320
Landing Gear,Titanium,5,New,North America,Airbus,E175
Engine,Titanium,40,Used,Asia,Bombardier,G650
Engine,Titanium,35,New,South America,Boeing,Citation X
Avionics,Composite,4,New,Europe,Airbus,737
Wing,Composite,3,New,Asia,Airbus,CRJ900
Fuselage,Titanium,13,New,South America,Embraer,Citation X
Landing Gear,Composite,21,Used,Asia,Bombardier,737
Landing Gear,Steel,42,Used,Asia,Embraer,737
Avionics,Composite,39,Used,Africa,Boeing,CRJ900
Fuselage,Aluminum,21,New,Asia,Cessna,E175
Fuselage,Steel,9,New,Australia,Gulfstream,A320
Engine,Titanium,13,Used,Europe,Embraer,CRJ900
Wing,Steel,1,New,Africa,Gulfstream,A320
Avionics,Composite,17,New,Australia,Airbus,Citation X
Landing Gear,Aluminum,3,Used,North America,Gulfstream,Citation X
Fuselage,Composite,4,New,South America,Bombardier,737
Fuselage,Titanium,43,New,North America,Gulfstream,737
Avionics,Titanium,43,Used,South America,Boeing,G650
Landing Gear,Steel,14,Used,Europe,Cessna,E175
Fuselage,Aluminum,28,Used,South America,Embraer,737
Fuselage,Composite,49,New,Europe,Cessna,737
Avionics,Composite,4,New,North America,Bombardier,CRJ900
Engine,Steel,9,Used,Africa,Bombardier,Citation X
Fuselage,Aluminum,23,New,Australia,Boeing,Citation X
Engine,Steel,36,Used,Europe,Boeing,Citation X
Landing Gear,Composite,41,New,Africa,Airbus,E175
Engine,Titanium,33,New,North America,Gulfstream,G650
Avionics,Steel,8,Used,Australia,Bombardier,E175
Avionics,Titanium,31,New,Australia,Embraer,E175
Fuselage,Steel,3,New,North America,Gulfstream,G650
Wing,Aluminum,37,New,Africa,Cessna,CRJ900
Engine,Steel,31,New,Africa,Boeing,CRJ900
Engine,Aluminum,22,New,Europe,Cessna,737
Avionics,Steel,27,Used,Europe,Boeing,737
Wing,Aluminum,38,New,Asia,Gulfstream,E175
Wing,Composite,2,Used,South America,Gulfstream,A320
Fuselage,Titanium,4,New,Asia,Boeing,CRJ900
Avionics,Composite,32,New,South America,Embraer,E175
Engine,Aluminum,46,Used,South America,Airbus,A320
Landing Gear,Steel,3,New,Asia,Embraer,Citation X
Avionics,Steel,15,Used,Europe,Boeing,CRJ900
Landing Gear,Steel,28,Used,South America,Embraer,Citation X
Wing,Aluminum,21,New,North America,Cessna,A320
Fuselage,Steel,30,Used,Europe,Embraer,A320
Fuselage,Titanium,11,New,Australia,Boeing,G650
Landing Gear,Titanium,14,New,Europe,Gulfstream,Citation X
Landing Gear,Steel,10,New,Australia,Airbus,Citation X
Wing,Composite,16,Used,Africa,Boeing,Citation X
Fuselage,Aluminum,4,Used,Asia,Boeing,A320
Landing Gear,Aluminum,9,New,South America,Airbus,CRJ900
Wing,Titanium,23,New,Europe,Bombardier,Citation X
Landing Gear,Steel,48,New,South America,Boeing,Citation X
Fuselage,Titanium,48,Used,Australia,Airbus,G650
Wing,Composite,24,Used,Asia,Cessna,E175
Avionics,Titanium,37,Used,Asia,Cessna,Citation X
Engine,Steel,22,New,Africa,Boeing,E175
Engine,Titanium,37,New,North America,Gulfstream,G650
Landing Gear,Steel,6,Used,Asia,Boeing,Citation X
Avionics,Aluminum,42,Used,Asia,Embraer,G650
Wing,Titanium,3,Used,Europe,Airbus,A320
Engine,Composite,33,Used,Europe,Bombardier,CRJ900
Avionics,Titanium,3,New,North America,Boeing,Citation X
Landing Gear,Composite,48,Used,Asia,Cessna,A320
Fuselage,Composite,8,Used,Europe,Gulfstream,Citation X
Engine,Titanium,26,Used,Asia,Airbus,A320
Wing,Composite,2,Used,North America,Airbus,G650
Engine,Aluminum,45,New,Africa,Bombardier,CRJ900
Avionics,Aluminum,24,New,Asia,Gulfstream,CRJ900
Avionics,Aluminum,33,New,South America,Bombardier,G650
Avionics,Composite,7,Used,Europe,Airbus,G650
Fuselage,Aluminum,41,New,North America,Cessna,G650
Engine,Aluminum,36,New,Europe,Boeing,Citation X
Fuselage,Steel,1,New,South America,Embraer,737
Landing Gear,Composite,45,Used,Australia,Gulfstream,G650
Avionics,Titanium,35,Used,North America,Gulfstream,G650
Landing Gear,Composite,32,New,Africa,Bombardier,Citation X
Landing Gear,Titanium,28,New,Europe,Boeing,E175
Landing Gear,Composite,44,New,Africa,Gulfstream,A320
Avionics,Composite,7,Used,North America,Cessna,A320
Landing Gear,Titanium,17,Used,South America,Cessna,E175
Engine,Titanium,35,New,Asia,Boeing,Citation X
Wing,Composite,40,Used,Asia,Embraer,CRJ900
Engine,Aluminum,36,New,Africa,Gulfstream,E175
Landing Gear,Steel,26,Used,Asia,Embraer,Citation X
Landing Gear,Steel,48,New,Africa,Airbus,737
Engine,Composite,16,New,Africa,Embraer,G650
Landing Gear,Composite,10,New,Asia,Gulfstream,737
Wing,Aluminum,5,Used,Asia,Boeing,CRJ900
Avionics,Composite,8,New,Asia,Bombardier,G650
Wing,Steel,6,New,Asia,Bombardier,737
Wing,Titanium,11,Used,Asia,Airbus,E175
Engine,Aluminum,25,Used,North America,Airbus,E175
Engine,Titanium,4,New,North America,Airbus,CRJ900
Avionics,Composite,27,New,South America,Boeing,CRJ900
Wing,Composite,40,Used,Europe,Boeing,Citation X
Fuselage,Steel,6,New,North America,Embraer,A320
Avionics,Aluminum,4,Used,Asia,Bombardier,737
Landing Gear,Composite,34,New,Africa,Boeing,A320
Landing Gear,Titanium,46,Used,South America,Gulfstream,737
Wing,Titanium,46,New,Asia,Embraer,CRJ900
Engine,Aluminum,24,New,Europe,Embraer,CRJ900
Wing,Aluminum,32,Used,Asia,Embraer,CRJ900
Wing,Composite,25,New,Australia,Embraer,A320
Avionics,Steel,18,Used,Asia,Boeing,CRJ900
Fuselage,Titanium,27,New,Europe,Bombardier,A320
Landing Gear,Aluminum,39,New,North America,Bombardier,Citation X
Landing Gear,Titanium,9,New,Australia,Boeing,Citation X
Landing Gear,Steel,34,New,Asia,Bombardier,737
Fuselage,Aluminum,20,Used,Australia,Gulfstream,A320
Engine,Aluminum,25,Used,Asia,Cessna,737
Engine,Composite,8,New,Australia,Bombardier,CRJ900
Fuselage,Composite,19,Used,Australia,Airbus,737
Landing Gear,Aluminum,30,Used,Europe,Embraer,CRJ900
Landing Gear,Composite,15,Used,Asia,Airbus,Citation X
Engine,Composite,28,Used,Europe,Boeing,Citation X
Avionics,Steel,21,Used,North America,Gulfstream,A320
Engine,Aluminum,3,New,Asia,Cessna,Citation X
Fuselage,Steel,18,Used,Europe,Bombardier,737
Avionics,Steel,9,New,Africa,Boeing,E175
Engine,Aluminum,9,New,North America,Embraer,Citation X
Landing Gear,Titanium,40,New,Asia,Embraer,E175
Avionics,Steel,41,Used,North America,Airbus,737
Avionics,Titanium,2,Used,North America,Bombardier,Citation X
Avionics,Titanium,47,New,North America,Gulfstream,A320
Landing Gear,Aluminum,23,New,Africa,Cessna,E175
Avionics,Composite,15,Used,Europe,Cessna,CRJ900
Engine,Aluminum,30,New,South America,Bombardier,737
Engine,Steel,11,Used,Australia,Cessna,E175
Engine,Composite,33,Used,Europe,Airbus,737
Engine,Aluminum,2,New,Africa,Bombardier,E175
Avionics,Aluminum,16,Used,Australia,Gulfstream,737
Landing Gear,Steel,39,New,Europe,Gulfstream,737
Wing,Aluminum,31,New,Australia,Embraer,737
Engine,Composite,17,Used,Australia,Gulfstream,737
Fuselage,Aluminum,23,New,Australia,Bombardier,CRJ900
Fuselage,Aluminum,24,New,Africa,Boeing,737
Wing,Composite,13,Used,North America,Boeing,737
Wing,Composite,20,Used,North America,Airbus,A320
Landing Gear,Composite,27,New,Asia,Cessna,CRJ900
Landing Gear,Composite,2,Used,South America,Gulfstream,E175
Fuselage,Aluminum,18,Used,Asia,Embraer,Citation X
Wing,Composite,0,New,North America,Airbus,A320
Avionics,Aluminum,5,New,South America,Cessna,737
Avionics,Composite,15,Used,North America,Gulfstream,G650
Landing Gear,Composite,34,Used,Asia,Airbus,CRJ900
Wing,Composite,8,New,Asia,Boeing,737
Engine,Steel,7,Used,Europe,Airbus,A320
Landing Gear,Steel,1,New,South America,Boeing,A320
Avionics,Steel,14,Used,Europe,Bombardier,Citation X
Engine,Titanium,7,Used,South America,Airbus,737
Fuselage,Titanium,39,Used,North America,Airbus,E175
Engine,Steel,36,New,North America,Embraer,A320
Avionics,Titanium,42,New,South America,Boeing,A320
Engine,Aluminum,39,New,South America,Embraer,G650
Avionics,Titanium,45,Used,South America,Bombardier,E175
Fuselage,Composite,27,Used,Asia,Gulfstream,G650
Wing,Steel,19,Used,Africa,Gulfstream,A320
Landing Gear,Steel,34,New,Australia,Bombardier,E175
Fuselage,Steel,14,Used,Asia,Bombardier,737
Engine,Aluminum,0,New,Australia,Embraer,CRJ900
Engine,Titanium,15,New,Africa,Boeing,CRJ900
Wing,Aluminum,48,New,Europe,Cessna,A320
Fuselage,Aluminum,3,New,South America,Airbus,A320
Landing Gear,Steel,41,New,Africa,Gulfstream,Citation X
Wing,Composite,44,New,Europe,Gulfstream,G650
Engine,Titanium,17,New,North America,Cessna,G650
Wing,Aluminum,45,New,Asia,Embraer,Citation X
Fuselage,Steel,42,Used,South America,Airbus,E175
Avionics,Titanium,38,Used,Africa,Airbus,A320
Engine,Titanium,42,New,South America,Gulfstream,737
Fuselage,Aluminum,47,New,Asia,Bombardier,E175
Fuselage,Aluminum,8,New,North America,Embraer,A320
Engine,Composite,14,Used,North America,Bombardier,A320
Avionics,Composite,1,New,South America,Gulfstream,G650
Avionics,Titanium,26,Used,Africa,Boeing,E175
Fuselage,Titanium,41,New,North America,Bombardier,A320
Landing Gear,Composite,33,New,Africa,Embraer,E175
Wing,Titanium,35,Used,Africa,Boeing,A320
Avionics,Composite,25,Used,North America,Gulfstream,CRJ900
Fuselage,Composite,46,Used,South America,Boeing,737
Wing,Steel,48,New,Australia,Airbus,CRJ900
Avionics,Steel,48,Used,Europe,Bombardier,A320
Fuselage,Composite,35,New,Australia,Embraer,G650
